ID,Year,Title,Journal,Author,Country_of_Affiliation
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,F. Pineda-Garcia,Mexico
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,H. Paz,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,H. van der Wal,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,I. E. Romero-Perez,Mexico
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,J. A. Meave,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. A. Meave,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. L. Hernez-Stefanoni,Mexico
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,J. L. Hernez-Stefanoni,Mexico
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,J. L. Andrade,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. M. Dupuy,Mexico
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,J. M. Dupuy,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. Rodriguez-Velazquez,Mexico
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,L. Sanaphre-Villanueva,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,M. Martinez-Ramos,Mexico
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,M. Martinez-Ramos,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,P. Balvanera,Mexico
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,P. Balvanera,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,R. Munoz,Mexico
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,R. Munoz,Mexico
18,2016, Biomass resilience of Neotropical secondary forests, Nature,S. Ochoa-Gaona,Mexico
21,2013, Succession of Ephemeral Secondary Forests and Their Limited Role for the Conservation of Floristic Diversity in a Human-Modified Tropical Landscape, PLoS ONE,A. Hernez,Panama
12,2016, Root quality and decomposition environment; but not tree species richness; drive root decomposition in tropical forests, Plant and Soil,B. L. Turner,Panama
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,D. Ibarra,Panama
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,E. Mariscal,Panama
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,J. Deago,Panama
8,2009, Impacts of Herbicide Application and Mechanical Cleanings on Growth and Mortality of Two Timber Species inSaccharum spontaneumGrasslands of the Panama Canal Watershed, Restoration Ecology,J. S. Hall,Panama
22,2011, Estimating carbon stock in secondary forests: Decisions and uncertainties associated with allometric biomass models, Forest Ecology and Management,J. S. Hall,Panama
1,2013, Key role of symbiotic dinitrogen fixation in tropical forest secondary succession, Nature,J. S. Hall,Panama
5,2011, Seasonal variability of photosynthetic characteristics influences growth of eight tropical tree species at two sites with contrasting precipitation in Panama, Forest Ecology and Management,J. S. Hall,Panama
16,2012, Foliar herbivory and leaf traits of five native tree species in a young plantation of Central Panama, New Forests,J. S. Hall,Panama
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,J. S. Hall,Panama
9,2013, Water-use efficiency and whole-plant performance of nine tropical tree species at two sites with contrasting water availability in Panama, Trees,J. S. Hall,Panama
10,2015, Changing gears during succession: shifting functional strategies in young tropical secondary forests, Oecologia,J. S. Hall,Panama
21,2013, Succession of Ephemeral Secondary Forests and Their Limited Role for the Conservation of Floristic Diversity in a Human-Modified Tropical Landscape, PLoS ONE,J. S. Hall,Panama
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. S. Hall,Panama
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,J. S. Hall,Panama
8,2009, Impacts of Herbicide Application and Mechanical Cleanings on Growth and Mortality of Two Timber Species inSaccharum spontaneumGrasslands of the Panama Canal Watershed, Restoration Ecology,J.-M. Verjans,Panama
21,2013, Succession of Ephemeral Secondary Forests and Their Limited Role for the Conservation of Floristic Diversity in a Human-Modified Tropical Landscape, PLoS ONE,M. Bailon,Panama
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,M. H. Wishnie,Panama
4,2007, Between and within-site comparisons of structural and physiological characteristics and foliar nutrient content of 14 tree species at a wet; fertile site and a dry; infertile site in Panama, Forest Ecology and Management,M. H. Wishnie,Panama
10,2015, Changing gears during succession: shifting functional strategies in young tropical secondary forests, Oecologia,M. van Breugel,Panama
1,2013, Key role of symbiotic dinitrogen fixation in tropical forest secondary succession, Nature,M. van Breugel,Panama
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,M. van Breugel,Panama
18,2016, Biomass resilience of Neotropical secondary forests, Nature,M. van Breugel,Panama
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,M. van Breugel,Panama
21,2013, Succession of Ephemeral Secondary Forests and Their Limited Role for the Conservation of Floristic Diversity in a Human-Modified Tropical Landscape, PLoS ONE,M. van Breugel,Panama
22,2011, Estimating carbon stock in secondary forests: Decisions and uncertainties associated with allometric biomass models, Forest Ecology and Management,M. van Breugel,Panama
16,2012, Foliar herbivory and leaf traits of five native tree species in a young plantation of Central Panama, New Forests,M. van Breugel,Panama
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,N. Cedeno,Panama
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,A. Keczynski,Poland
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,B. Jaroszewicz,Poland
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,F. Malis,Slovak Republic
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,J. Vladovic,Slovak Republic
20,2014, Effects on nutrient cycling of conifer restoration in a degraded tropical montane forest, Plant and Soil,J. Gallardo-Lancho,Spain
20,2014, Effects on nutrient cycling of conifer restoration in a degraded tropical montane forest, Plant and Soil,M. I. Gonzalez-Hernez,Spain
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,J. Brunet,Sweden
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,B. Schmid,Switzerland
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,E. de Luca,Switzerland
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,P. A. Niklaus,Switzerland
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,A. Hector,UK
4,2007, Between and within-site comparisons of structural and physiological characteristics and foliar nutrient content of 14 tree species at a wet; fertile site and a dry; infertile site in Panama, Forest Ecology and Management,D. H. Dent,UK
5,2011, Seasonal variability of photosynthetic characteristics influences growth of eight tropical tree species at two sites with contrasting precipitation in Panama, Forest Ecology and Management,D. H. Dent,UK
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,D. H. Dent,UK
18,2016, Biomass resilience of Neotropical secondary forests, Nature,D. H. Dent,UK
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,G. Peterken,UK
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,J. N. Griffin,UK
2,2015, Drivers of temporal changes in temperate forest plant diversity vary across spatial scales, Global Change Biology ,K. J. Kirby,UK
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,A. DeFrancesco,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,A. L. Wendt,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,A. M. Almeyda Zambrano,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,B. F. Tracy,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,B. Wilsey,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,C. Bonin,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,D. A. Clark,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,D. B. Clark,US
4,2007, Between and within-site comparisons of structural and physiological characteristics and foliar nutrient content of 14 tree species at a wet; fertile site and a dry; infertile site in Panama, Forest Ecology and Management,D. Braden,US
5,2011, Seasonal variability of photosynthetic characteristics influences growth of eight tropical tree species at two sites with contrasting precipitation in Panama, Forest Ecology and Management,D. Braden,US
17,2010, Silvicultural and economic aspects of pure and mixed native tree species plantations on degraded pasturelands in humid Costa Rica, New Forests,D. Craven,US
15,2012, Carbon Dynamics of Tropical Forests, Springer,D. Craven,US
21,2013, Succession of Ephemeral Secondary Forests and Their Limited Role for the Conservation of Floristic Diversity in a Human-Modified Tropical Landscape, PLoS ONE,D. Craven,US
22,2011, Estimating carbon stock in secondary forests: Decisions and uncertainties associated with allometric biomass models, Forest Ecology and Management,D. Craven,US
1,2013, Key role of symbiotic dinitrogen fixation in tropical forest secondary succession, Nature,D. Craven,US
4,2007, Between and within-site comparisons of structural and physiological characteristics and foliar nutrient content of 14 tree species at a wet; fertile site and a dry; infertile site in Panama, Forest Ecology and Management,D. Craven,US
5,2011, Seasonal variability of photosynthetic characteristics influences growth of eight tropical tree species at two sites with contrasting precipitation in Panama, Forest Ecology and Management,D. Craven,US
7,2010, Physiological and anatomical responses of Acacia koa (Gray) seedlings to varying light and drought conditions, Environmental and Experimental Botany,D. Craven,US
8,2009, Impacts of Herbicide Application and Mechanical Cleanings on Growth and Mortality of Two Timber Species inSaccharum spontaneumGrasslands of the Panama Canal Watershed, Restoration Ecology,D. Craven,US
9,2013, Water-use efficiency and whole-plant performance of nine tropical tree species at two sites with contrasting water availability in Panama, Trees,D. Craven,US
10,2015, Changing gears during succession: shifting functional strategies in young tropical secondary forests, Oecologia,D. Craven,US
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,D. Craven,US
16,2012, Foliar herbivory and leaf traits of five native tree species in a young plantation of Central Panama, New Forests,D. Craven,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,D. Kennard,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,D. Kennard,US
17,2010, Silvicultural and economic aspects of pure and mixed native tree species plantations on degraded pasturelands in humid Costa Rica, New Forests,D. Piotto,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,D. Tilman,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,E. Marin-Spiotta,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,E. W. Seabloom,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,F. Isbell,US
16,2012, Foliar herbivory and leaf traits of five native tree species in a young plantation of Central Panama, New Forests,F. Montagnini,US
17,2010, Silvicultural and economic aspects of pure and mixed native tree species plantations on degraded pasturelands in humid Costa Rica, New Forests,F. Montagnini,US
7,2010, Physiological and anatomical responses of Acacia koa (Gray) seedlings to varying light and drought conditions, Environmental and Experimental Botany,G. P. Berlyn,US
9,2013, Water-use efficiency and whole-plant performance of nine tropical tree species at two sites with contrasting water availability in Panama, Trees,G. P. Berlyn,US
10,2015, Changing gears during succession: shifting functional strategies in young tropical secondary forests, Oecologia,G. P. Berlyn,US
16,2012, Foliar herbivory and leaf traits of five native tree species in a young plantation of Central Panama, New Forests,G. P. Berlyn,US
4,2007, Between and within-site comparisons of structural and physiological characteristics and foliar nutrient content of 14 tree species at a wet; fertile site and a dry; infertile site in Panama, Forest Ecology and Management,G. P. Berlyn,US
5,2011, Seasonal variability of photosynthetic characteristics influences growth of eight tropical tree species at two sites with contrasting precipitation in Panama, Forest Ecology and Management,G. P. Berlyn,US
16,2012, Foliar herbivory and leaf traits of five native tree species in a young plantation of Central Panama, New Forests,G.S. Paul,US
15,2012, Carbon Dynamics of Tropical Forests, Springer,H. Griscom,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,H. W. Polley,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. M. Becknell,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,J. M. Becknell,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,J. R. Lasky,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. S. Denslow,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,J. S. Powers,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,J. S. Powers,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,K. E. Harms,US
15,2012, Carbon Dynamics of Tropical Forests, Springer,K. Meister,US
1,2013, Key role of symbiotic dinitrogen fixation in tropical forest secondary succession, Nature,L. O. Hedin,US
21,2013, Succession of Ephemeral Secondary Forests and Their Limited Role for the Conservation of Floristic Diversity in a Human-Modified Tropical Landscape, PLoS ONE,M. Abbene,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,M. D. Smith,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,M. E. Sandor,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,M. K. Steininger,US
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,M. S. Ashton,US
15,2012, Carbon Dynamics of Tropical Forests, Springer,M. S. Ashton,US
4,2007, Between and within-site comparisons of structural and physiological characteristics and foliar nutrient content of 14 tree species at a wet; fertile site and a dry; infertile site in Panama, Forest Ecology and Management,M. S. Ashton,US
9,2013, Water-use efficiency and whole-plant performance of nine tropical tree species at two sites with contrasting water availability in Panama, Trees,M. S. Ashton,US
5,2011, Seasonal variability of photosynthetic characteristics influences growth of eight tropical tree species at two sites with contrasting precipitation in Panama, Forest Ecology and Management,M. S. Ashton,US
10,2015, Changing gears during succession: shifting functional strategies in young tropical secondary forests, Oecologia,M. S. Ashton,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,M. Uriarte,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,M. Uriarte,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,N. B. Schwartz,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,N. G. Swenson,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,N. G. Swenson,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,P. B. Reich,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,Q. Guo,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,R. Bhaskar,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,R. L. Chazdon,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,R. L. Chazdon,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,R. Muscarella,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,R. Muscarella,US
1,2013, Key role of symbiotic dinitrogen fixation in tropical forest secondary succession, Nature,S. Batterman,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,S. G. Letcher,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,S. G. Letcher,US
7,2010, Physiological and anatomical responses of Acacia koa (Gray) seedlings to varying light and drought conditions, Environmental and Experimental Botany,S. Gulamhussein,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,S. J. DeWalt,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,S. J. Wright,US
13,2015, Biodiversity increases the resistance of ecosystem productivity to climate extremes, Nature,S. Naeem,US
3,2011, Early growth and survival of 49 tropical tree species across sites differing in soil fertility and rainfall in Panama, Forest Ecology and Management,T. G. Gregoire,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,T. M. Aide,US
18,2016, Biomass resilience of Neotropical secondary forests, Nature,V. Boukili,US
14,2015, Environmental gradients and the evolution of successional habitat specialization: a test case with 14 Neotropical forest sites, Journal of Ecology,V. Boukili,US
